DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,BG,1998,85.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1973,68.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1974,66.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1975,62.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1976,61.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1977,56.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1978,56.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1979,54.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1980,52.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1981,51.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1982,49.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1983,48.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1984,47.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1985,47.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1986,47.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1987,46.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1988,45.24,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1989,45.96,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1991,73.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1992,73.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1993,59.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1994,56.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1995,56.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1996,56.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1997,55.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1998,55.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DE,1999,55.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1965,8.70,
